id,price,moonRank,💎 score (%),storeURL,accessory 1,accessory 2,accessory 3,background,clothing,facial hair,head,helmet,type
210,4,1825,67.73,https://magiceden.io/item-details/FAhwGEnYkAoRswpu7uTYDZBAmP7zUMfwB3o5JgWjSWez,Neo Shades,No Accessory,No Accessory,Red,Green Track Suit,No Beard,Blue Dupatta,No Helmet,Human
221,4.44,1335,68.24,https://magiceden.io/item-details/23uuUnq1JC1PNrMFDSn8jbkKTkEY3RcjE6fcEH91ABNc,No Accessory,No Accessory,No Accessory,Blue,Green Hoodie,No Beard,Red Bhangra,No Helmet,Ascended
225,4.5,1033,70.66,https://magiceden.io/item-details/45sJKpGx1CZhpg8jVpcb62eEyb4bY3YLcwUBCXNfSxFL,Neo Shades,No Accessory,Cigarette,Pink,Plain White Tee,Beard,Black Bandana,No Helmet,Human
227,5,1737,58.61,https://magiceden.io/item-details/2W5xQBPctTr3T3V2mYZa6b54SnwGQMSoCHrJYb3CcXce,Yellow Scouter,No Accessory,No Accessory,Green,Airforce,No Beard,Buzz Cut,No Helmet,Human
238,5,1685,59.13,https://magiceden.io/item-details/7xZqeXdeaeFYPqX681tM1ydiGXuirdH4oet4eQcdqypy,No Accessory,Diamond Chain,Cigarette,Pink,Plain Black Tee,No Beard,Yellow Bandana,No Helmet,Human
255,3.8,104,86.96,https://magiceden.io/item-details/5tkQNdjtWPVYBZHEDyD3J4FrRTSKzAKA6Js2tiQcTw7G,Bindi,Diamond Chain,No Accessory,Red,Yellow Sari,No Beard,Rice,No Helmet,Human
258,3.99,1354,72.55,https://magiceden.io/item-details/DfDKNDBcHHz46nQT8ggXsciNaPwpq17YvWPTiX2EeUxF,Red Scouter,Chain,Cigarette,Pink,Red Hoodie,No Beard,Green Bhangra,No Helmet,Human
298,2.75,3102,67.45,https://magiceden.io/item-details/CTh9WwDmK81vxkoH4k3gH1VWjJjm1mdkzbMrSo1dJGDc,Red Scouter,No Accessory,No Accessory,Orange,Red Track Suit,No Beard,Bun,No Helmet,Human
320,3.98,1227,73.92,https://magiceden.io/item-details/BAQubpJ49RCNBakLz2CYqM7cgnUYYJUCkccxGKHP8nAX,Earring,No Accessory,No Accessory,Orange,Green Vardi,No Beard,Green Dupatta,No Helmet,Undead
333,3.5,2270,68.28,https://magiceden.io/item-details/G9HUG9nRQJSB1HNAPF88A1bDynyMfGDAVAc3b6szqua5,Red Scouter,Chain,No Accessory,Orange,Blue Track Suit,No Beard,Jazzy Hair,No Helmet,Human
367,3.5,973,81.26,https://magiceden.io/item-details/BS2ZLrL7VeqUz228LWQkYcvr26TMpsRHVVGRfLzBuLWZ,Bindi,No Accessory,Joint,Orange,Blue Track Suit,No Beard,Yellow Bandana,No Helmet,Human
373,5,1796,58.02,https://magiceden.io/item-details/6Ycv1gDY2wX4xZtgSZ5uRzuUYEBdKk9yooaFj2U6NHud,No Accessory,No Accessory,No Accessory,Red,No Clothes,No Beard,Black Dupatta,No Helmet,Undead
376,3.9,3517,51.79,https://magiceden.io/item-details/8m9pfNiJghbRS9m9LY24FB4GRSXjMukLsSmQUPcWXoes,Red Scouter,No Accessory,No Accessory,Red,No Clothes,No Beard,Guy Hair,No Helmet,Human
