id,price,moonRank,💎 score (%),storeURL,Backgrounds,Backpacks,Bottoms,Headgear,Skin,Tops,Weapon,mintDate
3019,10.45,2688,69.18,https://magiceden.io/item-details/GbgvFPK6gBdnEYLCU1XGYdk3w2cD585JPtbgDBSnCErK,Yellow,No Backpack,Black Pants,Green Helmet,Remnant3,Blue Sport Jersey,Sword,15/01/2022 17:46:21
3022,12.5,2852,47.01,https://magiceden.io/item-details/G1TEGrxpQJg8un312vVq1bJcit782xRdrzvwhQ36kRAj,Red,No Backpack,White Pants,White Balaclava,Remnant2,Grey Hoodie,Metal Spear,15/01/2022 18:00:56
3046,13.5,3687,28.52,https://magiceden.io/item-details/DjmC4pMXQf5gRvQy1caPYnJLpkBEfJvHzv6trwP7P13,Dark Grey,No Backpack,Black Pants,Black Beanie,Remnant2,Black Shirt,Bloody Sword,15/01/2022 18:01:07
3073,16.2,3775,0.63,https://magiceden.io/item-details/43BH5zZuWNDJXFku5MDgqHfypxk42S4FsL7fLzMigEDc,Light Grey,No Backpack,Black Jeans,Blue Beanie,Remnant1,Blue Shirt,Green Flare,15/01/2022 18:00:36
3118,11,1820,72.5,https://magiceden.io/item-details/GiJoCDtgmdkEJZrvCdfU5nWq7FMKt5L3d5QP4kaENhdR,Red,Black Backpack,Tan Cargo Shorts,Blue Cap,Remnant1,Fur Coat,Battleaxe,15/01/2022 18:01:04
3138,10.45,1302,83.26,https://magiceden.io/item-details/BeHn4T2wvsqkWMZQub6fCPRR9M8tky18AYVgNSet6B2r,Dark Grey,Green Backpack,Black Pants,Black Hair,Remnant2,Red Denim Jacket,Metal Spear,15/01/2022 18:00:25
3200,14,2149,39.16,https://magiceden.io/item-details/Bw6nLM4eDz8s8LSVNnnVzVTMbtkszpdUxUMt5q4zDADQ,Green,Brown Backpack,Black Cargo Shorts,Green Beanie,Remnant1,Blue Shirt,Battleaxe,22/12/2021 18:01:24
3295,16.2,1060,28.22,https://magiceden.io/item-details/DRWaE41C2xT1KZorZKBmG2Nvwnq33aQsXoxVbrENkQTB,Red,No Backpack,White Pants,Grey Winter Hat,Remnant1,Blue Puffer Jacket,Bloody Metal Bat,08/01/2022 18:01:47
3360,17.5,147,24.51,https://magiceden.io/item-details/5DpNUjng4CvawbBAN8byUYHPYkkx4bFp2KHFt1ox1Nyx,Dark Grey,Black Backpack,Black Shorts Green Crocs,Black Beanie,Remnant2,Fur Coat,Scythe,15/01/2022 18:01:18
3395,14.39,1110,45.82,https://magiceden.io/item-details/EhpYnypBAWKGkm61S8BJKH2Wir1S7JZKE1PpRYvBe6jb,Purple,Green Backpack,White Pants,Sheriffs Hat,Remnant2,Black Trenchcoat,Metal Bat,15/01/2022 17:49:54
3399,14,2036,40.3,https://magiceden.io/item-details/BiMitYFhQmdz276YZDLUD5tnGZdphunoZYM6YvVK6AMU,Dark Grey,No Backpack,Black Shorts,Black Mask,Remnant1,Fur Coat,Bloody Boomerang,15/01/2022 18:00:05
3453,10.49,1925,76.53,https://magiceden.io/item-details/7opYtkVt2zdYxPnCAQBpznEuLTpghkDThH1sNtvDLSoK,Orange,No Backpack,Black Pants,Red Sunglasses,Remnant2,Blue Trenchcoat,Grenade Launcher,22/12/2021 18:02:01
3525,10.99,1086,80.06,https://magiceden.io/item-details/9wUuxx35agqcBvFEsat3uHy4Gscct1CMYL6LqGYyerGc,Red,No Backpack,SWAT Pants,Blue Cap,Remnant2,Black Shirt,Bloody Axe,15/01/2022 18:00:11
