id,price,moonRank,💎 score (%),storeURL
3265,69,69,0,https://magiceden.io/item-details/DVC6k9wVrPo29pTpJ34hFDkr2sSWmBFYVEii3BHniYmN
3290,3.5,1921,69.22,https://magiceden.io/item-details/FqPPrVGPauobLb3Bs8QTSzTsZ1LFVk9hwSQ24NLTofpd
3319,2.7,2772,71.07,https://magiceden.io/item-details/5vF3vxpKgJWJfjsz1PqFF2S3qxLNR3kNCnG8mJ3HLbHx
3348,5,35,67.85,https://magiceden.io/item-details/6WZtWmg1mkpMn9KpGEdFrSFpTxkMggpzVvfQd8FSphbt
3373,1.97,1930,84.46,https://magiceden.io/item-details/26bADHtJhCmsCdqc8prPQMTFnmgdsaSoTu6tNq6muPNj
3390,9.5,82,22.51,https://magiceden.io/item-details/9JL9qZ3TFhxg2hRZvEZxwLTQKMr4TYuW5EwsuPF4Qicg
3396,5,245,66.33,https://magiceden.io/item-details/CtYYtM3EopMMqcsXVfvbN2JXMB3hgCasLzRRvzVH9w1C
3400,4,916,71.48,https://magiceden.io/item-details/67H3Ld3NsobEuBLnzqJ193jQZKstZvgKHpbzoBA355Mu
3403,5,4789,33.5,https://magiceden.io/item-details/AzuYhqPb9iM1EbnfUK1sEntVYsZuNEpRcqZso9ykgcXi
3437,2.79,1568,78.87,https://magiceden.io/item-details/8aABMzDyS76dhg161f4JuQ31XVTYbhEoneRqKVzsVMrZ
3447,5,21,67.95,https://magiceden.io/item-details/2jxQWHjJcT5yQzoFavTsCFxfsMvCSBKERKPGbWd21Rxr
3498,2.2,716,90.93,https://magiceden.io/item-details/HoTmCcRwcWyc92nAi91urFsHW4rtxLR3gqfQP4mNsAGp
3511,2.25,1466,85.01,https://magiceden.io/item-details/Ary9oeTytuYkGLRQj5LMcKwy3pVHFj5TEfx1tetygxmr
3516,5.9,42,58.8,https://magiceden.io/item-details/AyN5gd4Yw6dNNC1RCmTi6soXRdfTCo7LYFmM1mgEmb9C
3526,2.6,1696,79.85,https://magiceden.io/item-details/HWE4qS3LJhaNk6A8HanskE5FfpNxz96RSjAWMPZoqC65
3556,5,233,66.42,https://magiceden.io/item-details/7e4zQSmbK98T2HFeWn2RECqCKw7J1G4LM1C2N1KZ5ArD
3567,15,26,0,https://magiceden.io/item-details/CAXrqeFWRfXPjPf2fjgN82zRkZwxF69B8jYs8JP1QXjE
3568,2,2543,79.73,https://magiceden.io/item-details/Fgjv88tpPWEYEfr2TRQVpXnvJXgignNr2nPCorPKf7XX
3583,4.5,213,71.56,https://magiceden.io/item-details/2qjyDnmBo8RxAtpWwK5gZDeP4fQzTn9J8M21WaTpEHtM
3601,1.9,5376,60.26,https://magiceden.io/item-details/EyoGABkuMwkJGA8zuiGruwVjyVBqcxNVs1dMKLqihtcw
3612,3,474,84.68,https://magiceden.io/item-details/AmDw7ZNpK5XTCC7uA3UiY6PaEdfiGMK3g36fd7uYKxpk
3623,3,441,84.91,https://magiceden.io/item-details/DmdjggPcKuWuKF1UzTURzoY5yk8m75U9j9M72ASmyHtG
3647,5,5092,31.31,https://magiceden.io/item-details/Gv63whqh56G9btJ4s6ZWihgYQ8YBqNgotacBuBnLGrA1
3648,25,25,0,https://magiceden.io/item-details/BMFoBJe3us1eEaunSYwDQik85wQgWfw6j9uUjf7CXNyR
3675,3.69,1612,69.55,https://magiceden.io/item-details/J3fox961MPefAUWi2JYgUHLGmKCypZqi3oWguJRgP2um
3705,100,610,0,https://magiceden.io/item-details/452Uxmf9Lwe4wpHMZpjrhwUuhGZoDBWS3PGuxqN2KACL
3711,2.87,3080,67.15,https://magiceden.io/item-details/6aRTbA1kg95RjgkbrhT8pfi3sTNhY1Yjp7nJPzX9PoT9
3718,5,2079,53.08,https://magiceden.io/item-details/9pRy8fkQQjzLgetiTAZ2jsDCyP4eFoD4aR9KsUvG3EER
3739,3,3117,65.58,https://magiceden.io/item-details/2EUypqudYQqiGXvegc4Aur4GTkKNV7s1nNEYfZEkUHBm
3745,1.95,2847,78.03,https://magiceden.io/item-details/ERnFPW5NKPku1c4JjAFbjsrHDhgEsFyemx6EHoXJgLTW
3746,2.17,5109,59.49,https://magiceden.io/item-details/Cni1PDMoSnThScKNkAa4Em3MsbVvGDLq4H4DCiSVHqjN
3779,2.5,2486,75.14,https://magiceden.io/item-details/2Xcw69ZHvgUeGboh6o8VLbQFFDq3tvtP98QhVmmQRWug
3805,2,1587,86.64,https://magiceden.io/item-details/5S7LqxRJu3v78z3Wm18uYbVrMarjmgSrp6yxEgje2FsJ
3814,3.5,1405,72.95,https://magiceden.io/item-details/Cu3eprWVVT2iCWb6UmmAesD7KwdtYJRfHAhpn7rtgDHa
3892,20,395,0,https://magiceden.io/item-details/2NPD7oMX1NBisuPvMHQSqmdfTpBQePMnK3U5NMLEdyrd
3956,2,1918,84.24,https://magiceden.io/item-details/CH78YExCjoVwvTvds78JYrqLBUfsALb36PbKyo7NcWNk
3960,1.85,4353,68.15,https://magiceden.io/item-details/AiVYeFuyoamwPJRABkH7v5j7Pn4TTZprtViSNFjYah1f
3979,3.7,3320,57.12,https://magiceden.io/item-details/G3dnurTtPLQUAkw3F6Njan8ZSAjYjRwBgh7wQp3aHkBg
3988,5,589,63.84,https://magiceden.io/item-details/3n5LUKTCeMVhCDcWdE5jTXzC6Lf6anbj1mhrjpiE5MvT
4060,10,254,16.27,https://magiceden.io/item-details/6RWAcfiKxMiuE1tiqGkZ4AoMXvfpuyQQFjFgAKzqATTQ
4083,3.5,1372,73.19,https://magiceden.io/item-details/G1Z5VS1gLLZRK41yewPreB4LKGRRSwVMeY45hnQMEdrp
4088,1.98,1899,84.58,https://magiceden.io/item-details/5dDYMQFoGUvyMNxQcYHit41PGuqYBpsaGysRQoXcuak3
4145,2.8,3143,67.39,https://magiceden.io/item-details/2qC6dtvRP6NFEKJHpQJbGre1ho6VurjXXi8H4jgNVt1Q
4161,1.81,4073,70.58,https://magiceden.io/item-details/9G8VmvLVstfqiGwTh9S3ADztXrChoWd37UWoncAeDko3
4175,5,127,67.18,https://magiceden.io/item-details/A9Lwrpz9pigUiMhigVgpxrgS72fLNSFZ5aBcB6QjeMat
4303,5,567,64,https://magiceden.io/item-details/Eptzp5PMHLgNWYaE3kTSTMAkMDv9x5J8qZGAjgH1Z77V
4306,2.2,4487,63.69,https://magiceden.io/item-details/7hdo5cxB4Vc8YbV2ELY7rG59H9xDmHy7n6wT9k4nazBN
4319,2,3385,73.65,https://magiceden.io/item-details/287Fp9dhwro28LZCWAkW5YVWqsrALXKpMPknCHUYgomV
4358,2.5,818,87.19,https://magiceden.io/item-details/4qywuTCbx2bdtji2jhEXMXy4jNdLYpew31fRLfoA3sjz
4362,3.6,272,80.14,https://magiceden.io/item-details/AmZG3B2zPfMF1WfCBQzdNZDzRdhJDmEkBxXmYi5kKneW
4391,2.89,1182,80.66,https://magiceden.io/item-details/H6d9HTvZQLJqV71RvtmyCbzCHephCBUW1ZU8AVmd1S5J
4411,15,555,0,https://magiceden.io/item-details/AU1KHaYiYpfagmnC7UPpQmXhumAJfnfEK9qn2Ksge5Nx
4463,4.5,4524,40.42,https://magiceden.io/item-details/H2ZQ4eXgnrRbbkrpKJoy7ASQUQRmEg89sMR27rR1xfx7
4488,3,3719,61.23,https://magiceden.io/item-details/B65qvxWftW2w9X7LHiZd6iyhB1JfjZcW2VeVyqwkx6oL
4521,5,4963,32.25,https://magiceden.io/item-details/HgMcECD4uhas8oBaaKyfrmNgECxepmqGozyHY7LbrqnP
4535,9,6,28.06,https://magiceden.io/item-details/9E346Efptpz8kCdhL7duB68yuHXthL1Jw8ZYN7jVpjLW
4571,3.9,4319,47.9,https://magiceden.io/item-details/5RnvVirSiZMumbE51Pe3g6TJviqMmQc1sZ3PfxDtTPcU
4610,2.6,5537,52.1,https://magiceden.io/item-details/6V9wQLdFy4ap18JEGVVrm55sDpchKJnYEnp13J4krDjC
4776,5,684,63.16,https://magiceden.io/item-details/2GnHScawbdHYkAWpVKdS1GzaFAheXNEKPNTBd4FFztMN
4852,16.5,108,0,https://magiceden.io/item-details/Fo7jssVHY2utZWAEpxhb6FWwrdVncGT3VpZ7z2irHXQD
4855,3,3707,61.32,https://magiceden.io/item-details/GmmmYgzZZKB84vZM75SipkFzWZWQXVMLVq5gg3EY43qG
4910,4.2,2297,59.51,https://magiceden.io/item-details/3QPi1EHgM9xoywSFGTVpBraJXkSXspWehysu8uuhkFk6
4958,7,50,47.74,https://magiceden.io/item-details/D8Z5MPbPvq2xjrXGjR33W4pbLutJhQu5HFcLEuAQ5Hxd
4962,4.99,1658,56.22,https://magiceden.io/item-details/9didU5vvuccxquwW22ZTrPW1BaDXPDxKJMAFuN6acRMx
4993,2,3810,70.58,https://magiceden.io/item-details/7L71mFCCvd5wxKHkUwupsHMx5YRFbigmxcAAi86WFNCa
4999,3.4,998,76.89,https://magiceden.io/item-details/DvVkDvjBpWRwJKXgPVbm9ExUEoanMg59pLFtEmwF365M
5146,2.5,3813,65.55,https://magiceden.io/item-details/FHk5itBxwbiBsJGnn81REwWmvEXy6v34zA7mb4J4kRmj
5190,1.99,4671,64.46,https://magiceden.io/item-details/AD3W2nZj92HzTBWHULXXMosGbuDBzHhAgng46fEqFAHy
5223,2.19,2849,75.62,https://magiceden.io/item-details/EroTSPE29656wf42pVnywt5jvoFzyiuuF1gkCpu5VJd3
5275,420.69,34,0,https://magiceden.io/item-details/4ckN6tkiDHax2EC31ficx1gXjwxX4rj9yijzi2z7uzmE
5304,2.6,5517,52.24,https://magiceden.io/item-details/6nv17MnjhSxvgB3EZn4f2H2yYRuz7BfQCkBediKnhUj7
5339,10,4639,0,https://magiceden.io/item-details/B4n2cVzM262G8qjAxXAdLMx9USCs2naV8jW84GnZx33W
5381,2.58,789,86.6,https://magiceden.io/item-details/2Mm8o4WV6aYkxJfekCsTXyFgYMSJsNo1ejj7AGxK7VE3
5414,1.9,1641,87.25,https://magiceden.io/item-details/3qhFoXx91vi3Tp4CC4rRCKZMXW3LyYY4RDHh164aPFnA
5527,3.6,400,79.21,https://magiceden.io/item-details/EiUP8CuqGugEPKEp9g2ZRChJH5UKGxm8EhrmLqd1mMBu
5535,2,3679,71.52,https://magiceden.io/item-details/2MJiRmYedQFFHVKHzTbGD39ksDQBi1vax7DWQP2cpzJr
5542,3.5,949,76.24,https://magiceden.io/item-details/8q7JfmZiy5Cck6d3vgwTGRh5iD7jWc8VguAN2CDq5pbt
