id,price,moonRank,💎 score (%),storeURL,Background,Cloth,Eyes,Hair,Hat,Mouth,Necklace,Skin,Type
7045,60,3235,0,https://magiceden.io/item-details/GbLszVWfcQ2e2aj4nbTW8mfpx83kTsmNUQB11Qa1CRBm,Base Background,Pink Stripes,Green,Curly,No Trait,Barely Angry,Aurory Necklace,Human,Aurorian
7081,200,563,0,https://magiceden.io/item-details/4ogz77dvQLTzhcQVVY3rj5mRFXWHLCrUYkyY9zntvEGm,Base Background,Overalls,No Trait,No Trait,Zzoo Hat,Big Smile,No Trait,Solana Blob,Aurorian
7085,2000,7828,0,https://magiceden.io/item-details/5XQ5VNdKhMChf3axet2awQJeWyKF7DRiGugJPFHMvZgT,Base Background,Base Cloth,Black Eyes,Long Blob Hair,No Trait,Base Mouth,No Trait,Human,Aurorian
7128,47.990002,1236,0.15,https://solanart.io/nft/5G6Kz3GAbF25ZkHRQBtMpW35QQJtnzf2pfGskVFofRij,Gradient Blue,Yellow Stripes,Red Eyes,Playmobil,Witch Hat,Base Mouth,No Trait,Human,Aurorian
7139,159,3323,0,https://magiceden.io/item-details/BSxJHjdQEdmtA8XLMSqgvHBBD9YbGHnpGyJ7zasgXhca,Base Background,Jacket,Base Eyes,No Trait,Axobubble Hat,Base Mouth,Flower Necklace,Human,Aurorian
7161,52,8875,0,https://solanart.io/nft/57eTWy5iQT8MUry2wwpknv9HMGv8GLmZxPAbLcm191Dt,Base Background,Base Cloth,Steampunk Glasses,Shaved,No Trait,Base Mouth,Aurory Necklace,Human,Aurorian
7175,75,7344,0,https://solanart.io/nft/8TivP1zfZWhnygyPCydu8e8UykttJK7M89cC84wZfwCa,Base Background,Pink Stripes,Base Eyes,Combed Haircut,No Trait,Cat Mask,Aurory Necklace,Human,Aurorian
7193,125,6642,0,https://magiceden.io/item-details/FuARnxUanUgLPBASnZHqDCTmBD5qNyBs5FN9pjF61FYg,Base Background,Puffy Jacket,Base Eyes,Zero Two Hair,No Trait,Grin,Aurory Necklace,Human,Aurorian
7207,82,2931,0,https://magiceden.io/item-details/21RjeyBk8fkNurEgyxgSXUj54Rgp5khwr97eDKU7k8TQ,Base Background,Overalls,Viper Shades,No Trait,Feather Hat,Paint Mask,Aurory Necklace,Human,Aurorian
7272,95,7255,0,https://magiceden.io/item-details/GfKt58GK5fH2JRmaicQu2gcmv2MrrniiLhGr13U1zhXu,Base Background,Base Cloth,Viper Shades,White Hair,No Trait,Zipper Mask,No Trait,Human,Aurorian
7362,168,1556,0,https://magiceden.io/item-details/4UHQAEi5bUeK1ySXjxiVmDiwmeccLji9rAtYA8mpaGMv,Base Background,Yellow Stripes,No Trait,No Trait,Bitebit Hat,Base Mouth,No Trait,Solana Blob,Aurorian
7367,60,5239,0,https://magiceden.io/item-details/Ez8NgPiUvpnqkT1RuuhvDsW6tLSAk4XdQcWGbDLDAgXu,Base Background,Leather Jacket,Steampunk Glasses,No Trait,Phantom Cap,Base Mouth,Aurory Necklace,Human,Aurorian
