id,price,moonRank,💎 score (%),storeURL,Background,Body,Body Accessory,Colour,Dog,Glasses,Hat,Mouth
1091,2.19,4684,62.32,https://magiceden.io/item-details/7XZ1AAq1KreSNKPwa8HGehagbPUKr1uvZ4U835uYhpzZ,Orange,Sneaking Suit,None,Salt N Pepper,Shibe,None,Garrison Cap,None
1092,2,4581,64.98,https://magiceden.io/item-details/7iaNSRA1wX3KavFogSE2ZzbGZLnzSUs3yZPYkZ546zTR,Pink,Green Uniform,None,Salt N Pepper,Pommy,3d Glasses,None,None
1147,3,2167,72.85,https://magiceden.io/item-details/J6Vbpd34MNAwKA4DCgjQDWsDgsYZZV6nbbWu1yTPZumX,Green,Red Tracksuit,Orange Bandana,Salt N Pepper,Oldboy,Aviators,None,None
1232,3,698,83.73,https://magiceden.io/item-details/8C9NHsJcBi6eT2kftZrKXXeqJPgweTJpz8mMtyX44xBA,Green,Orange Uniform,None,Coco Cream,Crazee,Cyber Visor,Blue Bone Hat,Cigarette
1262,1.89,1306,90.33,https://magiceden.io/item-details/JAz8eektXT4m8VZ5deAv2X23hmmkGmGDxBWX2M98zTmJ,Cyan,Orange Uniform,None,Brown Bear,Schemer,Glasses,Red Beret,Stogie
1321,2.5,4008,64.22,https://magiceden.io/item-details/94dKyjfuKyqKDKKwwfeDhNGPtenDf7CGKLGqMt9NaixP,Green,Sneaking Suit,Red Bandana,Blush,Scar,None,None,None
1326,3,2272,72.08,https://magiceden.io/item-details/H3fRND1HBFLu6k4rXQggwvna6eETYcbLzFYGqnHxyrzz,Pink,Yellow Tracksuit,None,Blush,Puppo,Laser Eyes,None,None
1478,3,279,86.83,https://magiceden.io/item-details/7nfBebkc7iLpz8Z2pzRx7iaQqPttPfJ2FxeE8AyxvFUt,Pink,Blue Uniform,Blue Bandana,Brown Bear,Shibe,Viper Shades,Red Punk,Cigarette
1485,2.599,4195,61.85,https://magiceden.io/item-details/92EQgGcjTYWjGd9g6Jbae3MonQ7A9fXnxF4uvaL8Wgnd,Yellow,Green Tracksuit,Red Bandana,Blondie,Crazee,None,None,None
1515,3.3,2219,69.47,https://magiceden.io/item-details/6ttoHrjzc79npUaTZsFGGNTNFmazNtSNKyRwvvc7DdJu,Green,Sneaking Suit,None,Silver,Pugsly,None,Cowboy Hat,Vape
1583,3.5,3763,56.04,https://magiceden.io/item-details/HNTWY9Ei7tkBtArfDoR7dKPowk2fGENQoPEF2p81JLLz,Orange,Blue Uniform,None,Brown Bear,Pugsly,Deal With It,None,None
1654,3.1,4982,51.01,https://magiceden.io/item-details/2vAdFph5M8XGWPLRSZUhUHezkp71XRT8gU93nf7eTrWz,Yellow,Sneaking Suit,None,Salt N Pepper,Shibe,None,Yellow Beret,None
1746,3.25,5402,46.4,https://magiceden.io/item-details/GKaXdjQWR3BvStWTcLTUx7exh1xWGFXSLC7xZoySLzJ2,Yellow,Leather Jacket,None,Coco Cream,Chinchin,None,None,None
1831,2,2995,76.72,https://magiceden.io/item-details/BevPQwt5CF37jDJYrLfESKytsBpRrGGUnPXf7UHtofVQ,Yellow,Leather Jacket,Blue Bandana,Blondie,Sniffy,None,Green Bone Hat,None
1864,2.5,664,88.98,https://magiceden.io/item-details/4rZT47JXNWGwvenuNr9AYYyWL3v5FsYtYnouH1spVKGv,Cyan,General Uniform,Green Bandana,Salt N Pepper,Oldboy,3d Glasses,Blue Bone Hat,None
2078,3.2,4491,53.65,https://magiceden.io/item-details/Auyy7Zr1JdQGfgXncVFik5C3ENDZnkiSVyZmpJmnNgbW,Cyan,Sneaking Suit,Red Bandana,Salt N Pepper,Chinchin,None,None,None
2088,3,346,86.34,https://magiceden.io/item-details/8obXEZsASQDswxmWFKzK2x14V5gHcsPsJGdVgrrgs9ed,Explosion,Red Tracksuit,Green Bandana,Blondie,Crazee,None,Red Beret,Stogie
