id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
4399,4.2,4528,66.3,https://magiceden.io/item-details/21UcMx8UygA6v2PdrkhLJujg9y38tisyoy7msxi9Xacy,,Weed and Cookies Aura,,#ff8599,,02,11,02,Tall White Boots,brown,04,,White Leggings,04,elf,
4533,3.1,NaN,0,https://magiceden.io/item-details/4MxxKwNWmHbazcoq3XRECCURd8U7rNmsLhLem8piqB1d,,,,,,,,,,,,,,,,
4566,3,7232,67.44,https://magiceden.io/item-details/CfbWUDNRi6uWpJwoMVxp3Dp2Q2EeJkpxvQAJ4rhTBbWn,,Balloons A Aura,,#ff8599,,01,05,13,White and Gray Skate Shoes,brown,37,,Gray Shorts,01,catfolk,03
4655,3.5,2806,80.22,https://magiceden.io/item-details/9UnMxMmvtvsMPBsirGhJtRfpKKWSAhJXpYhUYn6eBP7G,,Octopus Game B Aura,,#9641ff,,03,07,14,Pink Running Shoes,red,37,,Black Leggings,02,elf,
4670,3.2,2008,86.43,https://magiceden.io/item-details/36CAioWcjCne6suvM2N7fjkuGFzwqncib15R7PheAkB6,,Party C Aura,,#9ca4a7,,03,03,19,Yellow Boots,blonde,30,,Purple Miniskirt,04,human,
4686,4.5,8980,45.41,https://magiceden.io/item-details/GbqjsEiedhqjQXnjf5KgADDkGgWCBBuiJ7Yrgqtiorwj,,Balloons B Aura,,#383838,,02,12,10,Tall Green Boots,blonde,37,,Khaki Cargo Shorts,04,elf,
4801,3.5,3185,78.7,https://magiceden.io/item-details/9qnR18yws2cTuCpSzpShmBc7z8i1hkBntXaJDoiW1Xpg,,Blue Disco Aura,,#ff984a,,02,14,07,Gray Sneakers,grey,07,,Gray Pants,03,catfolk,02
4843,3.5,4548,73.22,https://magiceden.io/item-details/99PHny2sewyRYZ4N8GMVsorwQqdDGVZuchkGiM9uBany,,Party C Aura,,#232234,,02,02,29,Beige Slippers,red,33,,Long Red Skirt,03,elf,
4907,3.5,1244,86.5,https://magiceden.io/item-details/7TvrJ8NRVTLf3586s9KJixA45v7GQEpmA4byVoydT7j1,,Bubbles Aura,,#8ce647,,03,20,17,Red Flip Flops,blonde,35,,Pink Polka Dot Pencil Skirt,04,lizard,02
5041,4,7966,54.49,https://magiceden.io/item-details/CSRqn75vr89Gdyqk5G3S6MtE6JQqFSppfPAEEmaVCP76,,Gamers Robot B Aura,,#9641ff,,01,01,14,Pink Flip Flops,brown,04,,Brown Cargo Shorts,01,catfolk,02
5054,2.8,6831,71.05,https://magiceden.io/item-details/6s8WpRPsu2A8WA5mApUmL43WqvzQF1hwaiNUET71khAt,,Black Hearts Aura,,#20cecb,,03,04,08,Tall Black Boots,grey,37,,Black Cargo Shorts,03,lizard,03
5245,3.69,9498,51.43,https://magiceden.io/item-details/BauxrsoJ93snABY9JdzZpQAhWRws8KQCG1xdukuVAV9U,,Purple Stars Aura,,#ff8599,,03,14,15,Beige Slippers,grey,32,,Brown Cargo Shorts,02,orc,
5307,3.5,1188,86.73,https://magiceden.io/item-details/F47dB37tDovwGZF5osQt7EfqVtAgEM9fYvKWPHkWKMW8,,Meeko Chain Aura,,#f14345,,02,11,22,Purple Heels,brown,36,,Long Purple Flowery Skirt,01,lizard,01
5397,2.88,8224,64.65,https://magiceden.io/item-details/4JCAHkhbYcwZVpWibg1aW3hJB85zFLCXHhgNfhctKfh1,,Gray Rain Aura,,#215ae8,,02,18,21,Purple Skate Shoes,brown,36,,Green Leggings,02,catfolk,02
5455,3,7147,67.78,https://magiceden.io/item-details/8KMQSA2CAuV9avC2zS9hfGLB65GT49JfdFGCA99L5QXS,,Balloons C Aura,,#85e8a9,,01,,22,Tall Brown Boots,grey,30,,Yellow Baggy Pants,01,orc,
5473,2.95,4376,79.42,https://magiceden.io/item-details/7SrFqYLvpiyoBq5hLyZAMaWRB7XJ7DZ135TscNm3DDv5,,Orbs C Aura,,#87fff3,,03,06,27,Pink Running Shoes,blonde,36,,Pink Polka Dot Pencil Skirt,02,catfolk,03
5518,3,3026,84.34,https://magiceden.io/item-details/7n6BnLPbjUzLKLhDSXqoy2NxPRKBakXgWVVjgcZKw1BV,,Trippy Rainbow Aura,,#ff8599,,01,05,21,Black Boots,black,36,,Black Miniskirt,01,catfolk,04
5589,3,2948,84.65,https://magiceden.io/item-details/3ncWpmLstY1irNJ59v3XwWvNSkSyrtKrzSuRcBnPvh4h,,School Fireworks A Aura,,#20cecb,,03,05,12,Purple Skate Shoes,blonde,37,,Brown Pants,01,human,
5662,3,9014,60.28,https://magiceden.io/item-details/3kgwRCK3aYMFrqviRihXivbaCNbHPxZwy9TXiGLebEqg,,Controllers Aura,,#9ca4a7,,01,04,16,Blue Flip Flops,grey,37,,Blue Checkered Leggings,02,lizard,01
