id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Base,Face Feature,Hat,Nose,Shirt
462,0.39,960,58.73,https://magiceden.io/item-details/uNYP1EPQqWkq3rKU2ZtNrbrTRXDYV1j4X7kM5BFQCu6,Pink Readers,Orange,Green,None,None,Blue,None
474,0.15,365,85.22,https://magiceden.io/item-details/GWjR61WfrczHicWUrm61UaCTrt1mxPJCAMmYh5kiskae,Cross Necklace,Pink,Red,None,Tiara,Magenta,None
484,0.54,941,58,https://magiceden.io/item-details/2QASTeMYpWkv5CtBsmUt2sS3oT3oQGYUaNCabPaBXmf3,Gold Chain,Pink,Steel Grey,None,None,Green,None
516,0.15,643,73.97,https://magiceden.io/item-details/5NrNVqUSyjRwur9ivvdHTdYFbnpVoMjjrjug36ntFzCd,Pink Readers,Magenta,Lavender,None,None,Brown,Pink ZipUp
557,0.35,715,69.05,https://magiceden.io/item-details/9wQPK37mQMtxm82YRT3XSedaeZ5snaTdkFWJqGJgaXF7,None,Sunflower,Green,None,Pumpkin Hat,Purple,Red Shirt
580,0.69,185,87.11,https://magiceden.io/item-details/4JY3CEKcQFbYksi846aGP7mxfdrr1HeVvrM9LTwS28sR,Cigarette,Sunflower,Brown,None,Turkey Hat,Light Blue,Yellow ZipUp
591,0.5,863,61.56,https://magiceden.io/item-details/2iEnEu3qYzjmad5FW21c1v8mcMBFb2PuU17fELs1aCVb,Collar,Sunflower,Cyan,None,None,Sunflower,None
605,0.379,692,69.69,https://magiceden.io/item-details/5MAqokQgbNyQoW7LuLwvMg8jQjxRfhmmMBVEWaKqix1t,Cross Necklace,Green,Brown,None,None,Purple,Brown Shirt
610,0.4,441,79.65,https://magiceden.io/item-details/44j16YeSaGhe9qVP181HyK2JN9VusLNj48y8batm553e,None,Green,Fuschia,None,Flower Hat,Sunflower,Brown Shirt
687,0.38,753,67.21,https://magiceden.io/item-details/5s8fw2hCm7gtPtVC48taa83zpGrrAx5yDGGn9p9WbBLQ,Blue Readers,Teal,Grey,None,None,Sunflower,Purple Shirt
698,0.18,247,89.7,https://magiceden.io/item-details/ENae43jQZe33zzNCrB77HGDt9evAfneTFPWXsJg5LP5o,Blue Readers,Lavender,Grey,None,Beanie,Steel Grey,Purple Shirt
701,0.34,874,62.72,https://magiceden.io/item-details/GnyZm6oiZnPiJUj5GPGtBedoKjW97aBTq6Qu24zA6vo2,None,Lavender,Green,None,None,Pink,Brown Shirt
719,0.15,959,61.17,https://magiceden.io/item-details/HpX4dwBcBdJATFw6JsPP3M5s4tbVBfeD1LwgPs6ywudq,3D Glasses,Cyan,Pink,None,None,Black,None
731,0.15,604,75.55,https://magiceden.io/item-details/3cubcH4kGYJ3rpddxmuzCRtgSi9jUkTzuTx84LUCGf1Q,Solana Vipers,Lavender,Grey,None,None,Yellow,Green ZipUp
789,0.35,304,85.69,https://magiceden.io/item-details/4g6VhSLyGWJDPKcXR2qzG1wYmmagZbVSdcdG2hTJeTUt,3D Glasses,Sunflower,Lavender,None,Lucky Hat,Purple,Grey Shirt
814,0.5,944,58.28,https://magiceden.io/item-details/3xwRxea8HPnBfm67JDZPbqp6DzK1JUhqwuKxU9WQDsVu,Blue Readers,Green,Brown,None,None,Blue,None
857,0.27,678,71.35,https://magiceden.io/item-details/8zURdUXVUxHQbJTgWcp192nffzfbtFXgxcc8CJzC8rcX,3D Glasses,Purple,Sage,None,Plunger,Yellow,None
862,0.25,626,73.66,https://magiceden.io/item-details/78juUDG1dQRqmg7anWesWEK28pJgXFwS6xJJqoF8F9zo,Blue Sunglasses,Magenta,Lavender,None,None,Steel Grey,Red Shirt
885,0.42069,169,90.45,https://magiceden.io/item-details/Hz27viA8goxni2uxznF6opLtsaifj4NuHLREsbZg3Lbw,Cigarette,Pink,Orange,None,Hoiche Hat,Steel Grey,Grey Shirt
986,0.48,738,66.82,https://magiceden.io/item-details/FAbSiWhxQDAswRRgoBwwMcHg7d9CtjcS5EizMviVfXnw,Orange Sunglasses,Magenta,Sage,None,None,Pink,Blue VNeck
1009,0.15,896,63.72,https://magiceden.io/item-details/2XPQincEg9LGDGCTjANWZUBwDiUdbjH7aAMNRM9QcwZZ,None,Orange,Grey,None,Buccaneer Hat,Steel Grey,None
1016,0.25,919,61.79,https://magiceden.io/item-details/RX7kb3TSZdFMSZsHeaKaSkxvhMVp2DVTdFveV33h2gg,Inverted Solana Vipers,Green,Purple,None,None,Blue,None
