id,price,moonRank,💎 score (%),storeURL,Face,Feet,Generation,Hat,Outfit,Pants,Rank,Skin,Type
17761,0.0275,NaN,0,https://magiceden.io/item-details/7KYGAu4EGDhyJhDE1psSJW6QTCqFS62nKMnFiFJYvPhN,,,,,,,,,
17903,0.4,NaN,0,https://solanart.io/nft/FqyxKKqViNN7KXjbQnJyAgE6eBaC3gL1gye32njJxHdA,,,,,,,,,
17951,0.0275,NaN,0,https://magiceden.io/item-details/7QSktkNdMKprN1qWDwwoAS91egC5ztPSCUcydL7Gf9eR,,,,,,,,,
18443,0.0275,NaN,0,https://magiceden.io/item-details/GpjdKcKtLXKYgqdNNvE55zC3nbfbEY1nickGL8aaWyB3,,,,,,,,,
18552,0.04,NaN,0,https://solanart.io/nft/5anLF6gdBYnctSLJmwpg4mV4M7JdTAdtvih4HiLpHoSX,,,,,,,,,
19396,0.6,NaN,0,https://solanart.io/nft/9ZV5DBkDxwUi5wBf7Rq7M2GMKj677MhPa6etUSr7vewf,,,,,,,,,
19468,0.3,NaN,0,https://solanart.io/nft/6KDwh35HbX2RSzAYJRvitcb4hLpXXQT9uTWRZhkkx793,,,,,,,,,
19651,0.017,NaN,0,https://magiceden.io/item-details/5y1AkQmToR6feB9ScewVWTSWaSv7CZJiVCwkSkTkNhhV,,,,,,,,,
20179,0.0274,NaN,0,https://magiceden.io/item-details/FFvPiRtBNbHntoe9p5jHFyhR53v7PUxFUyJGy1tNKSjE,,,,,,,,,
20523,0.5,NaN,0,https://solanart.io/nft/2wAc7ZWP3oM6u2XkTE652FKHf7fZg4r6M674JjSp3D15,,,,,,,,,
20530,0.02,NaN,0,https://magiceden.io/item-details/GtXdKrq6XpEPu3PQEU8gkQWCd8oZPRUivTLboq48dT1J,,,,,,,,,
20812,0.49,NaN,0,https://solanart.io/nft/8a82cvSwP8Z7j8meDzL8qKpaSvztkEoN4zX5pXjymivr,,,,,,,,,
20987,0.5,NaN,0,https://solanart.io/nft/E7SKxhpu9T62Hv4TDuSdwPrW7wgEkdWdnN4XpJMTuhfo,,,,,,,,,
