id,price,moonRank,💎 score (%),storeURL,Background,Button,Clothing,Earrings,Eyes,Fur,Glasses,Hat,Mouth,Necklace
1245,6.69,7227,39.11,https://magiceden.io/item-details/9eF7rEmSP2pP6zXwDK5KNVX2s7RmibnSnrxG4QgSgDPR,Navy,,Hoodie Red,Cross Silver,Round Eye,Grey,3d Glasses,Beanie Grey,Sick Mouth,
1279,12,5373,0,https://solanart.io/nft/3U88aHGWon2M5eqdBAvhgBLXokby3fo6PX1eqr4VGicw,Orange,,Back To The Future Jacket,Stud Silver,Angry Eyes,Dark Brown,Masquerade,Military Hat,Zombie Mouth,
1280,7.5,2218,51.1,https://magiceden.io/item-details/8PAj1rqZLKN8mK8xQf7X4W7YLtZ8UU6rA841pj13VSid,Orange,,Wack Donalds Shirt,Stud Silver,Hypnotic eyes,Pink,Eye Patch,Horns,Squigly Mouth,
1309,13,3626,0,https://magiceden.io/item-details/3ccmRbx7j2WFNwozj27cif3fZuZfSBZGLq7Lguq7gJGC,Light Grey,,Robe Black,Cross Silver,Closed eyes,Black,Solana Glasses,Bucket Hat,Covid Mask Mouth,
1315,8.8,4394,29.38,https://magiceden.io/item-details/YeFGNkiBY3BHNK19ececWLhU4StrowcGWibqRb69R9i,Light Grey,,Jacket Navy Tee White,Ruby,X eyes,Black,Masquerade,Solana Backwards Hat,Smile mouth,
1330,7,4611,46.51,https://magiceden.io/item-details/298bv1S9rPwCky6H9j6YCT3DyV8vVhJhDKbSqRxo4ge2,Light Red,,Buttoned Shirt,Solana Gold Stud,Closed eyes,Black,Burberry Glasses,Spinner Hat,Sideways Smile Mouth,
1338,35,4622,0,https://solanart.io/nft/4aMTdmTxE14LrK1mps9C4bg4nxGZyp7kNFmnxoPqFAzZ,Light Yellow,,Robe Red,Cross Silver,Round Eye,White,Masquerade,Police Hat,Smile mouth,
1358,10,2343,25.6,https://magiceden.io/item-details/853FShNK67REztBswVR5e6qxdeHE8TEk5MRhPsJyHneU,Orange,,Jacket Brown Tee White,Solana Silver Stud,Hypnotic eyes,Pink,Clubmaster,Wack Donalds Hat,Tongue Out,
1360,20,8381,0,https://solanart.io/nft/G1BhCqUFc4EP4yDicg9saDnBeaQuWVnprMt2yka3JBDm,Light Grey,,Hoodie Green,Cross Silver,Closed eyes,Black,Burberry Glasses,Beanie Blue,Covid Mask Mouth,
1398,8.5,7529,19.8,https://magiceden.io/item-details/C8BdjbVkx4f1n3NT93YFi4wBvkNgZ6t3ELZzufpqZSzh,Light Red,,Plain White Tee,Cross Gold,X eyes,Brown,Clout Goggles,Blue Visor,Sideways Smile Mouth,
