id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Beak,Body,Eyes,Head,Type
5928,7.7,1396,68.9,https://magiceden.io/item-details/QfiTZ4rQbrK85tKufn62bmXrUmegaNJzh9MFuAHLUKm,None,Greyteal,None,Tuxedo,Wink,Vampire Hair,Skeleton
5995,8.77,6929,32.42,https://magiceden.io/item-details/J7KFQUJRP95pfYqwCxDj4VKrh7HBcNRWvaAjZ1BFeZV5,None,CoolBlue,None,Hi-Vis Vest,Normal,Feather Headband,Black
6051,8.68,6712,34.33,https://magiceden.io/item-details/BRqgomm5VYbRPjZnQ5CKow1fD2uHeYSk4rzwGsbmtxHb,None,Greyteal,None,Black Suit,Normal,Fast Food Cap,Green
6142,7,3012,68.37,https://magiceden.io/item-details/Ad2aKLMRUEzQkkupFvQcE8MhoJ7xoUKsGizqSSE7mbjt,None,Cocoa,None,Bathrobe,Closed Eyes,Police Cap,Green
6158,6.5,3672,70.29,https://magiceden.io/item-details/BahVUgDuXtdQXE3Sa35WimsgBvFjtPbNaF7Na7GkQDqP,None,CoolBlue,None,Black Suit,Regular Shades,Vampire Hair,Black
6237,6.12,2693,78.65,https://magiceden.io/item-details/57Q5A4fd9PcRRKgTVKkWLAUmSqvch71RhBqYdu8D8FAV,None,Solana,Vape,Dog Leash,Normal,Burning Head,Orange
6274,8,2082,62.7,https://magiceden.io/item-details/DFUsbTpfqZs93zTydjJyvVrwQ4yaj991UtpPfLiJoBc9,None,Cocoa,Vape,Kimono,Closed Eyes,None,Purple
6307,5.7,6996,62.81,https://magiceden.io/item-details/7WFBtUc3YQWiBQCYy6qNV2WCbeYWsbGZ3RDXh8KbLkBx,None,CoolBlue,Joint,Dog Leash,Normal,None,Blue
6354,18,147,0,https://alpha.art/t/2mYJQHc6XvDJ3ZxgXB9rJgc2iFTvmnAeqm5FJBtDYbjS,None,Cocoa,Joint,Pilot Jacket,Surprised,Burning Head,Black
6428,6.7,7891,48.64,https://magiceden.io/item-details/313V8yUjaFPTLarvq1UiGwPbN6V3aQSSYWe7ZdtGhJPh,None,Solana,None,None,Normal,Crazy Hair,Black
6431,6.99,4509,61.49,https://magiceden.io/item-details/BEzpzvJT335R6xBokkWdcqHq15RiASXu6fr2xrmNLqJc,None,CoolBlue,None,Life Saving Tube,Relaxed,Burning Head,Blue
6498,7,3787,64.76,https://magiceden.io/item-details/6Vt7SJZMB2JJyo1jkyn57vrj5wgxRYB3aazSfWzf7Nux,None,CoolBlue,None,Kimono,Wink,Crazy Hair,Blue
6526,420.69,392,0,https://alpha.art/t/sPzeUVLcFx1STAY9fQjaG2a5GQEtNi1Pz3WiicBCZeF,None,Greyteal,None,Black Suit,Regular Shades,Cap Forward,Alien
6550,20,1894,0,https://alpha.art/t/DRxYhc6MSByLL35H6c565bEXt1eehLqQGTDKDCPPWcyA,None,Greyteal,Vape,None,Cyclops Visor,Cap Forward,Black
6569,6.9,2661,71,https://magiceden.io/item-details/57mmrYfCx4Q8wX9q4EWg2hgK3QWf91ZtNeFPwN3M5ezc,None,Cocoa,Joint,Hi-Vis Vest,Normal,Burning Head,Green
6595,6.5,3198,72.5,https://magiceden.io/item-details/GggLs9c3x7PRKa3Wagqfv3fENYA5frPwprKi51KkCzKA,None,CoolBlue,Mask,None,Closed Eyes,Cap Backwards,Orange
6641,6,2727,79.7,https://magiceden.io/item-details/2UutTTC8tAicKEiuWUPUj7zQDWR5Gdg8zxVbmCaCJip6,None,Greyteal,Cigarette,Tuxedo,Normal,Red Crazy Hair,Orange
6702,10,1133,47.12,https://alpha.art/t/3DWKTxV4xQr96GvAHSdYKAdvVxWg4sivKg9JRZsJZ7hA,None,Cocoa,Vape,Dog Leash,Big Shades,Police Cap,Blue
6752,7,6480,52.21,https://magiceden.io/item-details/66PnbnzSzmCRPZnqdqX7JTJ4emqG837UHLvdtU4ZsXr7,None,Cocoa,None,Hi-Vis Vest,Normal,Feather Headband,Black
6766,6,6377,62.69,https://magiceden.io/item-details/BcfuUNCdjnLLaC7NWiqEDkSwQA7rBVWMztErJgKzLGrD,None,Violet,None,Dog Leash,Relaxed,None,Green
6778,6.09,3961,73.05,https://magiceden.io/item-details/DBRMTXWbm8kE4cXMjyk6pyBSn9qd69RSQFmynfU5D3Ki,None,Greyteal,Vape,Black Suit,Normal,Fedora,Green
6785,7,4242,62.64,https://magiceden.io/item-details/83i5KwvufLJb5vW4SBARubSgUGsSbZWamFEXHyecDhF1,None,CoolBlue,None,None,Cyclops Visor,Cap Forward,Orange
6826,7.6,2013,67.02,https://magiceden.io/item-details/9JNTSonYDc9LFfqwgneiTgbSEpz5sgFBcYDHmi7ZEGUh,None,CoolBlue,Mask,Kimono,Wink,None,Green
6851,220,823,0,https://alpha.art/t/6wCxto56y4RK3Zx2NKriRNdC7HaF3Fzug8qoEvCQA2PX,None,Greyteal,Mask,Kimono,Normal,Black Mohawk,Zombie
6877,6.9,6097,55,https://magiceden.io/item-details/CDjvvEaAr8jq6xjCfivm8EtwiekH7gYjvdvbPjpzGnQK,None,Greyteal,None,Life Saving Tube,Normal,Red Crazy Hair,Robot
