id,price,moonRank,💎 score (%),storeURL,acc_A,acc_B,background,cap_A,cap_B,cap_C,eyewear_A,eyewear_B,eyewear_C,helmet_A,helmet_a,helmet_B,helmet_C,helmet_D,helmet_E,helmet_F,mouth_A,mouth_B,mouth_C,mouth_D,skin_A,skin_B,skin_C,skin_D,teeth_B,teeth_C,top_A,top_B,top_C,top_D
971,0.8,2337,65.51,https://magiceden.io/item-details/AVLqXWp3n4rWWRfzh8AAb5W61om4gzLD49CYhAgc8ERH,none,,candy,,,,none,,,,,bubble,,,,,,lollipop,,,,purple_red_B,,,B_white_gold,,blue,,,
972,0.9,780,83.44,https://magiceden.io/item-details/DtCCfdYUvyNwvbwxgz1bJrrPMR7adDH2Ak85C2f8YZkq,gold_ear_ring,,ginger,,,,none,,,pickelhaube,,,,,,,,burger,,,,pink_blue_B,,,B_white_gold,,black,,,
1002,0.55,603,89.1,https://magiceden.io/item-details/CRti6d5sDATdcoPgiqWy46SoE8qRMLHjxtyQtBnEoBU1,gold_ear_ring,,peach,,,,,none,,,,icecream,,,,,,,,,,,olive_C,,,C_solana,neon_blue,,,
1069,0.95,888,81.63,https://magiceden.io/item-details/65D53jGkeUDiyi7yVVkt3YgjH4YNWUZQpYnN2CbZRJs5,gold_ear_ring,,peach,,,,white_sun_glasses,,,viking,,,,,,,pipe,,,,Brown_yellow_A,,,,,,blue,,,
1095,2.3,1654,58.81,https://alpha.art/t/6NjDgwg8ukmc28BCMjQy3q6eZP9zJ6S6JoeHUc6eHzRT,none,,ginger,,,,,,none,,,icecream,,,,,,,,,,,pink_blue_C,,,C_white,purple,,,
1110,0.2,2363,71.19,https://magiceden.io/item-details/7LmcBqkjGqDnPEzTgBQRFsv6pYaUcxpe68epVeXLbc5L,,,purple,none,,,none,,,,,icecream,,,,,,,,,,,red_C,,,C_chrome,neon_orange,,,
1178,0.29,978,87.14,https://magiceden.io/item-details/4jUBSSSzaAiVzVNBooiT2LjNJBjxDbdKqFokLEu8x1kP,,,banana,none,,,ess_glasses,,,,,banana,,,,,,none,,,,Brown_B,,,B_white,,neon_green,,,
1201,0.98,2011,67.67,https://magiceden.io/item-details/CR4PUab2UzqT1ideeYwii84ywU3KW9EtGhVigh3N6nfw,,,orange,none,,,none,,,,,bubble,,,,,,none,,,,albino_B,,,B_white_Chrome,,black,,,
1216,0.99,2662,59.66,https://magiceden.io/item-details/2RbQsWUN3xMNXpFMxxp6u7myiAfXMC4GnFLSAXZTX1Yt,,,ginger,,,,,,,,,,halo,,,,,,,,Broccoli_A,,,,,,blue,,,
1229,0.288,164,97.06,https://magiceden.io/item-details/2Q5bPfmSXNMDqRqi6DJL5wXYguzjNxjDAV9jmxn95PpW,,,sky,,,none,,,,,,,,,,broken,,,,air_ape,,orange_blue_B,,,B_solana,,yellow,,,
1297,0.25,2792,65.47,https://magiceden.io/item-details/Bstiaq8P6whA9YjVi4cv9bhroZzmNVp3hTxk1UeX2Xsn,none,,peach,,,,ess_glasses,,,,,banana,,,,,none,,,,purple_yellow_A,,,,,,yellow,,,
1344,0.5,1025,84.46,https://magiceden.io/item-details/FNiqrWFpGZ4KsywdrGQPVBedxsPKdSZDabfJvnS32Pcx,silver_ear_ring,,blue,,,,swat,,,taxi,,,,,,,banana,,,,purple_red_A,,,,,,yellow,,,
1361,0.95,2620,60.57,https://magiceden.io/item-details/2apUCmCPHMCN32Kasm16H4rZs9k61GwZf4nem38SzBb5,,,lime,,,,,,,,,,apetrooper,,,,,,,,Broccoli_A,,,,,,orange,,,
1392,0.9,2415,63.56,https://magiceden.io/item-details/4sWgxfNFSVWhmhugGCYaLCJkdqvUDHJFSf28RwSRtt83,,,candy,none,,,none,,,,,banana,,,,,,,,,,,Broccoli_C,,,C_chrome,neon_green,,,
1431,0.38,2205,71.31,https://magiceden.io/item-details/Coh8Jmv12cUFo1ArqzC8U8C6w8i2eKSPRe57S2ozW74E,silver_ear_ring,,purple,,,,solana,,,,,,,,drink_hat,,,,,,brown_A,,,,,,red,,,
1469,0.56,2645,64.16,https://magiceden.io/item-details/4US6BGKsi9bjDxrLefPvyaGMxJE5y9vtozphgJteyomz,,,rose,mine_helmet,,,none,,,,,bubble,,,,,banana,,,,albino_A,,,,,,red,,,
1486,2.4,1545,59.14,https://alpha.art/t/82W8bHHz3JpKAXw17pK4BRSc5Nt3MS63GKtk1ShH4Fhy,,,lemon,headphone,,,none,,,,,bubble,,,,,,sushi,,,,purple_red_B,,,B_white,,green,,,
1493,0.7,621,87.38,https://magiceden.io/item-details/3UdFXFBAvy7E1sMc7H6o3TXzLCmdHVAmLd5C3e8VUigD,silver_ear_ring,,candy,,,,none,,,chef,,,,,,,,pizza,,,,blue_B,,,B_solana,,neon_black,,,
1498,0.45,467,91.75,https://magiceden.io/item-details/Ee1uUQ1aKVWbhXiviSmQuxordhSGVmRmG9RNFvesoR1T,,,cerulean,,,none,,,,,,,,,,broken,,,soda,,olive_A,,,,,,neon_blue,,,
1514,0.5,3074,59.54,https://alpha.art/t/6UrTLVDDPH2ocpVJwj3fRGgXgwB4N5spLbi7XHujVmjb,,,orange,,,,,,,,,,,Ice_hockey,,,,,,,black_gray_A,,,,,,green,,,
1570,0.8,101,92.7,https://magiceden.io/item-details/6r17gfWmJvZEwMU1PXGDVqrpsHNyUmBJfqwHhDKnkVgu,,,lavender,mine_helmet,,,ess_glasses,,,,,banana,,,,,,chicken_toy,,,,multicolor_B,,,B_combination,,green,,,
1579,0.8,2585,62.49,https://magiceden.io/item-details/782tcUZJ8DhZeE4Z9qqsJH9VgTjwLjGLKH3A8gqd5Qyb,,,sky,,,,,,,,,,apelorian,,,,,,,,purple_A,,,,,,yellow,,,
1673,1.53,2610,54.89,https://alpha.art/t/3aagbB3i12tNXSJmajS56ExsfoNMSxGANcBpGDVxbVmx,gold_ear_ring,,candy,,,,sleep_mask,,,,,icecream,,,,,none,,,,albino_blue_A,,,,,,orange,,,
1690,0.8,992,81.87,https://magiceden.io/item-details/CtbVa3X77Zx7ccndo8R777HxYrmUdH6iiVj3NsbQp8RE,silver_ear_ring,,pink,,,,sleep_mask,,,,,stickerbomb,,,,,,none,,,,blue_B,,,B_solana,,yellow,,,
1713,0.4,1774,76.36,https://magiceden.io/item-details/FNUreo4fDiaKvBkK1aeHxVg8ZpmACt9V4NEBv63gJzD2,,,yellow,,,,,,,,,,,Ice_hockey,,,,,,,,,solana_C,,,C_white_gold,purple,,,
1849,0.3,844,88.67,https://magiceden.io/item-details/qWyiaDioCecdHXo3ENM6FrPqUBdFaCnQHvBTuargpgc,gold_ear_ring,,violet,,,,,none,,,,stickerbomb,,,,,,,,,,,red_C,,,C_white_gold,neon_green,,,
1885,0.4,650,90.02,https://magiceden.io/item-details/Gbtcs9wFVyTPUvHYRVn7QCJDyL6yMgxgj7TvKh7os6yk,none,,cerulean,,,,safety_glasses,,,,,icecream,,,,,,bone,,,,Broccoli_B,,,B_Chrome,,blue,,,
1943,0.5,1209,82.23,https://magiceden.io/item-details/5YwbYPTMh3oo5z69gb9Fu5R2tS8eYM5oDEE112gGM5EN,,,sky,,,,none,,,,,banana,,,,,,none,,,,,,zombie_green,,,,,zombie_purple,
2031,0.5,3289,56.93,https://magiceden.io/item-details/CPMDg33uAFvMyEiXQJeYhKHY5YrdxVMCo2tkmvQ3v1mA,none,,peach,,,,none,,,,,,,,drink_hat,,,,,,albino_A,,,,,,orange,,,
2131,3.9,186,60.67,https://alpha.art/t/E36TG7pXofdgrGRJGW1GRdxiBRUbzXgsKgxNWmrd6Xyy,,,banana,mine_helmet,,,pixel,,,,,,,,,broken,,,,air_ape,,burgundy_B,,,B_Chrome,,white,,,
2169,1.34,2908,53.16,https://alpha.art/t/3XMAJSsSufHpkoeV7UHBDaMZAXF1wDXL6KTPpsf3ndJc,gold_ear_ring,,ginger,,,,none,,,,,stickerbomb,,,,,,,,,,,green_C,,,C_white_gold,neon_blue,,,
2173,0.25,3054,62.29,https://magiceden.io/item-details/HZbj2pSqm7DvP7S7Zw4piYg5JoJo21rDB2uJvsyVMWBX,silver_ear_ring,,grey,,,,none,,,,,stickerbomb,,,,,banana,,,,purple_yellow_A,,,,,,black,,,
2189,0.55,1875,73.63,https://alpha.art/t/JDFpK9m2p5Aad6g9UZuRCHRZ5eqEEP2XaKRApSKt3EdY,,,grey,,,,,,,,,,,Ice_hockey,,,,,,,,orange_blue_B,,,B_Chrome,,neon_blue,,,
2246,0.8,1858,71.33,https://magiceden.io/item-details/66gXDq8QG3MRqrLYbDoQScQJJRTNfkBJv9TCG3BgBHGT,none,,banana,,,,none,,,,,banana,,,,,,dynamite,,,,blue_B,,,B_white,,blue,,,
2269,0.193,1576,80.83,https://magiceden.io/item-details/8vQtzntVxWVvhK9Q3hwDm1yLDjwdunTdNdxWbTrn1jdv,,,orange,headphone,,,sleep_mask,,,,,bubble,,,,,,,,,,,green_C,,,C_white_Chrome,neon_blue,,,
2309,0.4,255,94.83,https://magiceden.io/item-details/C71veEM4574iSng66aafV9VUiJdY6FqrDinpJd5TiLsm,gold_ear_ring,,candy,,,,,,star,,,stickerbomb,,,,,,,,air_ape,,albino_blue_B,,,B_white_gold,,neon_blue,,,
2327,0.8,1592,74.57,https://magiceden.io/item-details/418zMmTSKdEHaXUYkcp4iJDFtpEKziJtFeUQMgqVq5oG,,smile_mask,peach,,,,,,,,,bubble,,,,,,,,,,olive_B,,,B_white,,neon_purple,,,
2341,0.5,429,91.71,https://magiceden.io/item-details/HQcakd3rFxux2JNAaYu3WG63GcGXW33KKeVfncVg4d34,,,orange,,,captain,,,,,,,,,,broken,,,soda,,brown_A,,,,,,neon_green,,,
2359,1.29,1401,71.99,https://alpha.art/t/HhSY3Yhd3yyRX5RwUY8urJnmkU7rfYiz8RBGgKEruHTa,,,peach,none,,,none,,,,,bubble,,,,,,taco,,,,black_B,,,B_white_gold,,blue,,,
2370,2.5,1994,52.68,https://alpha.art/t/AEEGzcseTegRV5Q4NwUD5u7MXQjTCSqhRS4BwmGzDe5M,gold_ear_ring,,yellow,,,,swat,,,,,icecream,,,,,,,,,,,orange_blue_C,,,C_white,neon_blue,,,
2382,0.84,3156,55.15,https://magiceden.io/item-details/ApX7T5gxQUDrQKB59w3AHK7dTsifiUxbo1kWQ4AfxmSF,gold_ear_ring,,violet,,,,none,,,,,icecream,,,,,none,,,,green_A,,,,,,neon_blue,,,
2412,10,2504,0,https://alpha.art/t/A1f2kVhNYY7gPhZN6pXUzFxvyvB6tjsRcW8WSV2qC3m4,silver_ear_ring,,violet,,,,none,,,,,icecream,,,,,,,,,,,golden_C,,,C_gold,neon_green,,,
2424,0.35,2107,72.81,https://magiceden.io/item-details/AbshcLYW7tVtkxmSvrN86jJCFRAyKwf2rDX72JEoSycs,,,lemon,,,,,,,,,,,Ice_hockey,,,,,,,,black_gray_B,,,B_white_Chrome,,green,,,
2430,0.33,2272,71,https://magiceden.io/item-details/7WLrofTvK3dGwtv1P66voesfiPUc8pQdukBDqutitbun,,,grey,,,,,,,,,,,Ice_hockey,,,,,,,,pink_blue_B,,,B_white,,yellow,,,
2473,0.255555556,377,94.79,https://magiceden.io/item-details/AQKmqDEAWuPVdxBSVWGQ8m7EycY4DVagur7Cna1YSNCK,none,,banana,,,,,none,,,,,,,,broken,,,cocoa_milk,,blue_A,,,,,,neon_purple,,,
2483,0.38,190,95.82,https://magiceden.io/item-details/DvvKVjYipwY2b13ZTDqJ9yej2b2RCnsAz9dQNNRg7fva,,,lavender,,fast_food,,none,,,,,,,,,broken,,,cocoa_milk,,purple_red_A,,,,,,,fast_food,,
2490,2.28,3040,42.16,https://alpha.art/t/3rPSgiinEYFDdEa8mHrUhhY5U1rKV5sqXrFKwT4ERveZ,none,,cerulean,,,,none,,,,,icecream,,,,,weed,,,,warrior_A,,,,,,red,,,
2568,0.35,1810,76.42,https://magiceden.io/item-details/5M4Txxjkhzd49bKb9YJ4fMjDs1XAXHxmPs6mPCmdwMUb,,,grey,mine_helmet,,,safety_glasses,,,,,stickerbomb,,,,,,,,,,,yellow_C,,,C_white,purple,,,
2608,0.8,560,87.12,https://magiceden.io/item-details/4A8wkJwJ1LTf7pnUNTVN2cXg3X7tYkxj1mZJ9o97APtE,none,,purple,,,,none,,,chef,,,,,,,,pancake,,,,golden_B,,,B_combination,,neon_blue,,,
2690,0.5,1095,83.61,https://magiceden.io/item-details/BiiDexB4im33WtyfQjwwH7fD4iVLVKMF9LszStL2tvRc,silver_ear_ring,,rose,,,,pixel,,,pilot,,,,,,,pipe,,,,brown_A,,,,,,neon_black,,,
2694,0.67,213,92.64,https://magiceden.io/item-details/7Q2Wk6i1wiGNKg8ccMzy1EvR2eKSVqY5a1YAdwXD52zV,,,cerulean,,,none,,,,,,,,,,broken,,,,air_ape,,Brown_B,,,B_Chrome,,neon_black,,,
2725,0.4,782,88.42,https://magiceden.io/item-details/2Z7DxaVbgM2wwMhVo8jESmjVDJCZepL9LD6YqZtYxZ13,,,blue,mine_helmet,,,none,,,,,icecream,,,,,,burger,,,,green_B,,,B_gold,,yellow,,,
