id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Ears,Extra,Eyes,Headwear,Horns,Jewelry,Outfit,Skin,Tattoos
5459,5.5,2265,48.6,https://magiceden.io/item-details/7n2SLzD9Hef8ANSnBK6pPn1ZmHRsytkdXAqpgAcwEzKS,None,Purple,Lock (Silver),None,Vintage Rimless (Black),None,Swirl,None,Oversized T-Shirt (Mint),White,None
5467,5.5,137,64.01,https://magiceden.io/item-details/5mRc3DnSezpFdovo6B6oZMqi3uNDsNtgsQqPqjZamu47,One Arm Backpack (Cream),Orange,Feather (Colors),Dragon Wings (Black),Happy,None,Small,None,T-Shirt (Black | Lion Print),Purple,Cross
5470,5,3664,43.48,https://magiceden.io/item-details/2x85Az3yR6CCsBMBM6TUz3ur7xrmtnCSdRiQYxmDvNGW,None,Mint,None,None,Beachrunner (Black),Oversized Beanie (Mint),None,None,T-Shirt with Pullover (Mint),White,None
5485,4.5,274,73.02,https://magiceden.io/item-details/4JELovc5T6Mp1mmAiiAPdyjBRzfVhWbZF2xJMmwkn8d3,None,Cream,Top Hoops (Single | Silver),Angel Wings (Silver),Swirl,Visor Cap (Mint),None,None,Hoodie (Grey),Yellow,None
5494,5.9,867,54.72,https://magiceden.io/item-details/4JXv56cENw4R3XqqUzGZD4qnG3TWsuKuv3hKkrb64eoj,None,White,Feather (Gold),Feather Wings (Red),Happy,Dad Hat (Blue),None,None,Oversized T-Shirt (Yellow),White,Pain
5498,5,3030,48.07,https://magiceden.io/item-details/7piDEA1QyBU3Tmw34rpBkdSf3n7rdg8Mq47c8VUzdd85,None,Cream,None,Feather Wings (Black),None,Oversized Beanie (Purple),None,None,Hoodie (Black Drip Metal Print),Orange,None
5517,5,4961,34.09,https://magiceden.io/item-details/GRq5a7VVT6t4jNGgRgJpJDHoG5CKxE1frufNd3TiioKc,None,White,Feather (Gold),None,None,None,Small,None,Zip Hoodie Open (Camo Blue),White,None
5525,5,2034,55.28,https://magiceden.io/item-details/HLY7YZQLi3nCuvYDXzaj3buMrPeZfWNdDth13WJrxR3q,None,Yellow,None,None,None,Five Panel Cap (Pink),None,T-Shirt Necklace USB (Gold),T-Shirt (White | Lion Print),Black,None
5532,4444,4767,0,https://solanart.io/nft/3W2gVbH9bjDLE8B5tQHT74MzaFVSbCWCDv6TcuenXyJe,None,White,None,None,Happy,Oversized Beanie (Red),None,None,Denim Jacket (Grey),Purple,None
5533,4,3294,56.16,https://magiceden.io/item-details/GNidQbVYzMFFev9X1AyWoaxeM7GXKgR2wjoNkTgCY2tN,None,White,Diamond Hoops (Single | Rose Gold),None,Happy,Oversized Beanie (Red),None,None,T-Shirt (Mint),Purple Gem Stone,None
5539,7,4733,15.74,https://solanart.io/nft/CfhC7td8cDYiJJibWtKXqXozTiqCE5SWRvcH7peRqPAU,None,White,None,None,Vintage Rimless (Black),None,Small,None,Hoodie (Pink Drip Metal Print),White,Cross
