id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Body Color,Chest,Head,Metal,Topper,Visor
2590,0.9,2397,67.11,https://magiceden.io/item-details/Ax8ffFP8aDBwosWTm2FD9w1nA8uLNEFwZggibA1sXPff,None,White,Quadrid,Red,Facet,Atomic,Steel,Steel Insignia,Black
2599,1.15,2632,61.78,https://magiceden.io/item-details/78hN1A58EFqYxrUCSLVPKvqEJC671beHBzRosvwp7gUQ,Staff,Orange,Scout,Black,Vent Pack,Slim,Steel,Intake,Black
2600,1.2,2241,65.99,https://magiceden.io/item-details/5hFtusiux81Kh5EXjcxXuyqPxtvUXHY8oTdbjqVEXDyD,Staff,Black,Quadrid,Blue,Filter,Hydro,Copper,None,Black
2617,1.15,2573,62.49,https://magiceden.io/item-details/3kbL9zKMkw7LmSucdvYF4RhdLQcR4NBdscLy66Jsm3yM,Staff,Orange,Workforce,Yellow,Copper Insignia,Cyclops,Steel,None,Black
2642,1.33,3303,51.89,https://magiceden.io/item-details/FB9rbhjs4wAFk4VAWad9hL4pUHgznc1KoWVjQY6d7tjv,Volt Pack,Black,Issue,Blue,Jolt Pack,Slim,Steel,Extensions,Black
2655,0.7,1713,77.36,https://magiceden.io/item-details/ETbF4hv57gq5W54hL58eepDwsZLjtgGt3iRAmSVrS35r,None,Plum,Vector,Orange,Jolt Pack,Aero,Copper,Fins,Black
2659,1.45,2253,63.35,https://magiceden.io/item-details/EaQDjASuZ22Yzj51NLeZR9L5MgfhHx4dJSt9U5tvSVyH,Staff,Forge,Heat Sink,Blue,Facet,Slim,Steel,Extensions,Black
2663,1.05,3297,54.77,https://magiceden.io/item-details/5ZY7xHqoZB65BEmummwK39FkhMcMk6DwiknUKn98MFcd,Staff,White,Breach,Red,None,Entry,Steel,Duel Antennas,Black
2668,0.75,2022,73.13,https://magiceden.io/item-details/DVkeECA5CBDd1kfhT3A5sDxCTeUf2U7UpkgbNkRGLako,Staff,Blue,Ventilator,White,None,Atomic,Steel,Cryo Bulbs,Black
2670,1,2266,67.69,https://magiceden.io/item-details/34SY2M25n4LKn3Ma9L9QfmSqm8Rw3Hxgj2zaRSq9tGJp,Zippy,Black,Workforce,Yellow,Copper Insignia,Aero,Copper,Copper Insignia,Black
2681,1.15,1556,74.75,https://magiceden.io/item-details/DCsSQAruCoJPahz89ZyQwvJBdWiVUYNarma5Ej8bm5j9,Zippy,Sage,Scout,Magenta,Vent Pack,Atomic,Copper,None,Black
2738,1.15,2491,63.48,https://magiceden.io/item-details/FzDVUL3arfn3txuVy25E2V7iJvJTRKxg6EaSXRzSKkgX,Staff,Orange,Issue,White,Copper Insignia,Flattop,Copper,None,Black
2772,0.9995,3244,55.91,https://magiceden.io/item-details/5sWNvNqJjNcLN7mGkE7catG7RYLAQqCFqzVTmvQbzmmg,None,White,Workforce,Blue,Pump,Airframe,Steel,Duel Antennas,Black
2800,0.69,2630,66.4,https://magiceden.io/item-details/Ft9LvFyQrsHwTMga1JsWVxZUDha2epYqv7KimkMRQkum,Blasters,Blue,Breach,Yellow,None,Swivel,Steel,Duel Antennas,Black
2814,1,2417,65.87,https://magiceden.io/item-details/5XrzFM7xaJfjBfq5xUPn8PUP2bxVKBsCjZFH2sBRG2Y4,Sector,Black,Breach,Steel,Vent Pack,Atomic,Steel,None,Black
2863,0.9,1368,79.51,https://magiceden.io/item-details/ErAd37tRtcXxhywUtkNf34dWpqoRCEX2YQt1X8g7Lkv2,Staff,Orange,Scout,Black,CryoPlus,Airframe,Steel,None,Black
2874,1.09,1671,73.96,https://magiceden.io/item-details/7qEe9TNTETqYHTpbeCtcQBBu41UhS1SKnbsHyw8Hcq5t,Squidy,Sage,Vector,Blue,Facet,Swivel,Copper,None,Black
2916,1.2,2889,58.18,https://magiceden.io/item-details/GDM9SLtCr9dTNQ84gZWCJggumH2W5iN1QSQq8hdfbugj,Zippy,Teal,Heat Sink,White,Facet,Entry,Steel,Extensions,Black
2937,0.98,3094,57.91,https://magiceden.io/item-details/AruEVNXFKjf8W4YigeonBYiT61QnndwtoMTngXPYgXEY,Volt Pack,White,CryoTank,Yellow,Vent Pack,Flattop,Steel,Extensions,Black
3043,1.5,595,82.83,https://magiceden.io/item-details/ACQVoqXwKoVar3VcueV68KYwmcbCiATXYZktP932nksg,Cryo Array,Plum,Scout,Black,Jolt Pack,Flattop,Copper,Fins,Black
3050,1.5,426,84.87,https://magiceden.io/item-details/GAPYhgzXKqwYb2xv7P98kFmenqAmhEc9Ji7QtHF66T6e,Squidy,Sage,Workforce,Blue,Pump,OctoView,Gold,Fins,Black
3061,0.89,2580,65.01,https://magiceden.io/item-details/Ez2GxuxXprWy6XyWw2Ukb4YjJjNSEpQkhAFDvy4idmA3,Minis,Blue,Heat Sink,Red,Gold Insignia,Flattop,Steel,None,Black
3076,1,2184,68.68,https://magiceden.io/item-details/rh6akHt7vCv3ANSrJJZVAuCXMSbn749tya2utFCYvty,Volt Pack,Blue,CryoTank,Black,CryoFlow,Miner,Steel,Dish,Black
3082,0.96,2775,61.96,https://magiceden.io/item-details/8TQimV2rdz4FWrdrvhwx9eTrTtWD465M9dtqES6aR9XM,Gem Drill,Blue,Workforce,Blue,Vent Pack,Slim,Steel,Extensions,Black
3102,1.1,607,86.68,https://magiceden.io/item-details/9jxGm6G67Gq1LYrzm7WLMfG7EoUF8sr6oMnZPQyncvcv,Shock Arms,Blue,Breach,Rose Gold,Filter,Swivel,Steel,Steel Insignia,Black
3103,1,2175,68.79,https://magiceden.io/item-details/BRvD3Jhr9aCr8kVaHgacjGU4fqkEmH5QGeuZ5KUPJFpw,Staff,Teal,Vector,Blue,Jolt Pack,Hydro,Steel,None,Black
3149,1.1,1045,81.41,https://magiceden.io/item-details/7KkrmkNKLeS2qKWmQyQmY5ej5Pc496c1DshbpTCEZN4K,Zippy,Blue,CryoTank,Orange,Copper Insignia,Airframe,Copper,Copper Insignia,Black
3213,1.5,901,79.14,https://magiceden.io/item-details/99YgmBMSEZuwvXozGK7Qo2S4whGa27eWQSjNdrov8MJC,None,Black,Vector,Red,Absorption Shield,Aero,Steel,Steel Insignia,Black
3220,0.6,1162,85,https://magiceden.io/item-details/7TbL6oAMor9wbyCtga3aVGQxs63GVre3ph47S4trzLoN,None,Red,CryoTank,Copper,Grid,Entry,Copper,Extensions,Black
3263,1.15,1704,72.96,https://magiceden.io/item-details/EspkvFHftFEsFVMKqGQutPjjBtijAwYqbvfVr1uZ6c7r,Minis,Red,Workforce,Green,Grid,Miner,Steel,Copper Insignia,Black
3291,1.15,3112,55.99,https://magiceden.io/item-details/Grc2AWRBMaia4EaW2Z7ZDgHcSrMQJvi8p2L3NAPvsS6P,Staff,Plum,Heat Sink,Blue,Grid,Aero,Steel,None,Black
3326,0.79,2112,71.65,https://magiceden.io/item-details/HZc3krvwYNiZxQgT8kbwQWBMyihCKGo1CQneBuDr2UKR,Cryo Charger,Black,CryoTank,Yellow,Jolt Pack,Entry,Steel,Dish,Black
