id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
2936,43.49,4462,0,https://magiceden.io/item-details/AemP8PKNTeCkDJBVZCP2TxGES1jpghK7pc2pCYCFqscH,Champagne,,Sleepy,Backwards Cap Blue,Drool,Sweater Light,Natural
2955,40,3234,0,https://magiceden.io/item-details/9vnLB93smkU35MyY8kU313RSEjAi5Qa1zhYoEgAgR9zC,Green,,Eye Patch,Cap Dark,Blep,Sweater Green,Natural
2966,30,1634,81.56,https://magiceden.io/item-details/7hcXnZ5ts2qu9G9eTk3ARi7Gyydw8SbPyFUjAvZDzfj8,Green,,Sleepy,COPE,Smile,Shirt Flannel Red,Natural
3027,29.5,6661,60.6,https://magiceden.io/item-details/3W9MvfahbvAkfhP93AhioRMEJLBJEup38SSmBKV7mYnz,Rose,,Jaded,Bowler Light,Grin,Shirt Blue,Natural
3045,40,6306,0,https://magiceden.io/item-details/7627BeUx768BjAsyko6Tp6e6pwqTAvEf6GN2niZ59SQr,Persimmon,,Jaded,Headband Patterned,Fangs,Turtleneck Dark,Natural
3047,40,976,0,https://magiceden.io/item-details/2upDgwcpRh9dY5YpGHM7u4MRV8twdxnaGnekyHmMR8q1,Champagne,,Eye Patch,Pirate,Fangs,Sweater Green,Natural
3182,39.75,4662,0,https://solanart.io/nft/54bERXpKyqiSdMEFBS2FcLNWf1SCCGZRm3kwfEbrzkLg,Champagne,,Angry,Backwards Cap Camo,Closed,Turtleneck Blue,Natural
3197,40,5675,0,https://magiceden.io/item-details/4SnyDqPLyuvQu8ud8syTHrPJGQvg4mQywR6NvZeVqNtL,Emerald,,Standard,Cap Pink,Smirk,COPE,Natural
3298,30,3468,72.09,https://magiceden.io/item-details/F9BHuUSp3kkk24GiqWD22CuRDYqjH6RTCw7YHY4ZtTEY,Champagne,,Jaded,Valet,Smile,Shirt Red,Natural
3352,33,4596,36.27,https://magiceden.io/item-details/DmdiEe1Lw7TNpdoWcFDF9iXm88AhBDhYezffj5zr5tvX,Alabaster,,Sleepy,Cap Pink,Grin,Scarf Purple,Natural
3416,100,58,0,https://solanart.io/nft/Dr93786ULehnERLbps387B5i7C8DuJ8vXbFTZLs8Mc8L,Purple,,Wink,Captain,Beard,Shirt Camo,Natural
